rank,score,deferred,chapel,requirements,electives,elective_items,credits,free_days,early1,lunch_fail,late,runs,holes
4038,10.257,SciRD,YCA1006-01-00,QRM1001-01-00 UIC1561-01-00 UIC1551-01-00 UIC1806-01-00,QRM2004-01-00 BIZ1101-09-00,ME FREE,18.0,월금,1,1,1,4+5,1+1
4039,10.257,SciRD,YCA1006-01-00,QRM1001-01-00 UIC1561-01-00 UIC1551-01-00 UIC1805-01-00,QRM2004-01-00 BIZ1101-09-00,ME FREE,18.0,월금,1,1,1,4+5,1+1
4040,10.257,SciRD,YCA1006-01-00,QRM1001-01-00 UIC1561-01-00 UIC1551-01-00 UIC1805-01-00,QRM2004-01-00 BIZ1101-09-00,ME FREE,18.0,월금,1,1,1,4+5,1+1
4041,10.257,SciRD,YCA1006-01-00,QRM1001-01-00 UIC1561-01-00 UIC1551-01-00 UIC1806-01-00,QRM2004-01-00 BIZ1101-09-00,ME FREE,18.0,월금,1,1,1,4+5,1+1
4042,10.257,Lang,YCA1006-01-00,QRM1001-01-00 UIC1561-01-00 UIC1551-01-00 UIC2151-05-00,QRM2004-01-00 BIZ1101-09-00,ME FREE,18.0,월금,1,1,1,4+5,1+1
4043,10.25,Lang,-,QRM1001-01-00 UIC1561-01-00 ASP2033-01-00 UIC2151-14-00,ECO1101-06-00 QRM2102-01-00,ECO1101 ME,18.0,월,0,0,3,4,2+2
4044,10.233,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-04-00 UIC2151-04-00 UIC1806-02-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,금,0,1,3,8,3+1+2
4045,10.233,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-04-00 UIC2151-10-00 UIC1806-02-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,금,0,1,3,8,3+1+2
4046,10.233,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-04-00 UIC2151-10-00 UIC1806-02-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,금,0,1,3,8,3+1+2
4047,10.233,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-04-00 UIC2151-04-00 UIC1806-02-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,금,0,1,3,8,3+1+2
4048,10.215,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-04-00 UIC2151-12-00 UIC1805-02-00,STA2102-05-00 YCI1998-02-00,ME FREE,18.0,월금,1,0,1,4+5,1+2+2
4049,10.215,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-04-00 UIC2151-12-00 UIC1805-02-00,STA2102-05-00 YCI1998-02-00,ME FREE,18.0,월금,1,0,1,4+5,1+2+2
4050,10.208,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-11-00 UIC1806-01-00,ECO1101-06-00 QRM2004-01-00,ECO1101 ME,18.0,금,1,0,3,6,1+1+2+3
4051,10.208,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-11-00 UIC1805-01-00,ECO1101-06-00 QRM2004-01-00,ECO1101 ME,18.0,금,1,0,3,6,1+1+2+3
4052,10.208,MR,YCA1006-02-00,UIC1561-01-00 UIC1501-03-00 UIC2151-14-00 UIC1806-01-00,ECO1101-06-00 STA2102-04-00,ECO1101 ME,18.0,금,1,0,3,6,1+3+2+1
4053,10.208,MR,YCA1006-02-00,UIC1561-01-00 UIC1501-03-00 UIC2151-14-00 UIC1805-01-00,ECO1101-06-00 STA2102-04-00,ECO1101 ME,18.0,금,1,0,3,6,1+3+2+1
4054,10.208,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-04-00 UIC2151-11-00 UIC1806-02-00,ECO1101-06-00 QRM2001-01-00,ECO1101 ME,18.0,금,1,0,3,6,1+3+2+1
4055,10.208,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-04-00 UIC2151-11-00 UIC1806-02-00,ECO1101-06-00 QRM2001-01-00,ECO1101 ME,18.0,금,1,0,3,6,1+3+2+1
4056,10.208,MR,YCA1006-02-00,UIC1561-01-00 UIC1501-03-00 UIC2151-14-00 UIC1805-01-00,ECO1101-06-00 STA2102-04-00,ECO1101 ME,18.0,금,1,0,3,6,1+3+2+1
4057,10.208,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-11-00 UIC1806-02-00,ECO1101-06-00 QRM2001-01-00,ECO1101 ME,18.0,금,1,0,3,6,1+3+2+1
4058,10.208,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-11-00 UIC1805-01-00,ECO1101-06-00 QRM2004-01-00,ECO1101 ME,18.0,금,1,0,3,6,1+1+2+3
