rank,score,deferred,chapel,requirements,electives,elective_items,credits,free_days,early1,lunch_fail,dinner_fail,late,runs,holes
1836,134.645,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-03-00 UIC2151-07-00 UIC1805-02-00,ECO1103-02-00 STA2102-05-00,ME ME,18.0,금,1,0,0,0,4,2+1+1+1
1837,134.645,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-03-00 UIC2151-07-00 UIC1805-02-00,ECO1103-02-00 STA2102-05-00,ME ME,18.0,금,1,0,0,0,4,2+1+1+1
1838,134.645,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-03-00 UIC2151-09-00 UIC1806-02-00,ECO1103-02-00 STA2102-05-00,ME ME,18.0,금,1,0,0,0,4,2+1+1+1
1839,134.645,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-03-00 UIC2151-02-00 UIC1805-02-00,ECO1104-06-00 STA2102-05-00,ME ME,18.0,금,1,0,0,0,4,2+1+1+1
1840,134.645,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-03-00 UIC2151-03-00 UIC1805-02-00,ECO1104-06-00 STA2102-05-00,ME ME,18.0,금,1,0,0,0,4,2+1+1+1
1841,134.645,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-03-00 UIC2151-03-00 UIC1805-02-00,ECO1104-06-00 STA2102-05-00,ME ME,18.0,금,1,0,0,0,4,2+1+1+1
1842,134.645,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-03-00 UIC2151-06-00 UIC1805-02-00,ECO1103-02-00 STA2102-05-00,ME ME,18.0,금,1,0,0,0,4,2+1+1+1
1843,134.635,Lang,YCA1006-01-00,QRM1001-01-00 UIC1561-01-00 UIC1551-01-00 UIC2151-05-00,STA2102-05-00 YCH1605-01-00,ME FREE,18.0,월금,1,1,0,1,5,1+2+1
1844,134.635,Lang,YCA1006-02-00,QRM1001-01-00 UIC1561-01-00 UIC1551-01-00 UIC2151-05-00,STA2102-05-00 YCH1605-01-00,ME FREE,18.0,월금,1,1,0,1,5,1+2+1
1845,134.602,WCiv,YCA1006-02-00,QRM1001-01-00 ASP2022-01-00 UIC2151-12-00 UIC1805-01-00,STA2102-05-00 ECO1101-06-00,ME ECO1101,18.0,월금,2,1,0,1,6,1+3+2+3
1846,134.602,WCiv,YCA1006-02-00,QRM1001-01-00 ASP2022-01-00 UIC2151-12-00 UIC1805-01-00,STA2102-05-00 ECO1101-06-00,ME ECO1101,18.0,월금,2,1,0,1,6,1+3+2+3
1847,134.602,WCiv,YCA1006-02-00,QRM1001-01-00 ASP2022-01-00 UIC2151-12-00 UIC1806-01-00,STA2102-05-00 ECO1101-06-00,ME ECO1101,18.0,월금,2,1,0,1,6,1+3+2+3
1848,134.602,WCiv,YCA1006-02-00,QRM1001-01-00 ASP2022-01-00 UIC2151-12-00 UIC1806-01-00,STA2102-05-00 ECO1101-06-00,ME ECO1101,18.0,월금,2,1,0,1,6,1+3+2+3
1849,134.548,-,YCA1006-02-00,QRM1001-01-00 UIC1561-01-00 UIC1551-04-00 UIC2151-12-00 UIC1805-01-00,STA2102-05-00,ME,18.0,월금,2,1,0,1,6,1+4+2
1850,134.548,-,YCA1006-02-00,QRM1001-01-00 UIC1561-01-00 UIC1551-04-00 UIC2151-12-00 UIC1806-01-00,STA2102-05-00,ME,18.0,월금,2,1,0,1,6,1+4+2
1851,134.548,-,YCA1006-02-00,QRM1001-01-00 UIC1561-01-00 UIC1551-04-00 UIC2151-12-00 UIC1806-01-00,STA2102-05-00,ME,18.0,월금,2,1,0,1,6,1+4+2
